Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
3399 Otras industrias manufactureras,30.5,127.0,117.6,-260.4,14.7,62.3,45.1,93.9,3.9,205.2,36.5,43.7,80.2,"3,511.9"
43 Comercio al por mayor,113.6,279.6,29.9,-96.8,326.4,425.0,-71.0,269.4,293.0,916.4,"1,181.7",70.6,"1,252.3","13,408.9"
431 Comercio al por mayor de abarrotes alimentos  bebidas  hielo y tabaco,83.7,2.8,20.1,-30.7,75.9,158.9,176.7,233.0,-97.4,471.2,123.9,47.6,171.5,"2,778.4"
4311 Comercio al por mayor de abarrotes y alimentos,62.9,-14.7,16.7,-36.4,28.5,139.2,172.5,229.0,-104.6,436.2,125.2,44.3,169.6,"2,684.8"
4312 Comercio al por mayor de bebidas hielo y tabaco,20.8,17.5,3.4,5.7,47.5,19.7,4.2,C,C,35.0,-1.3,C,1.9,93.5
432 Comercio al por mayor de productos textiles y calzado,20.7,12.1,18.8,0.2,51.8,72.9,42.9,107.1,4.9,227.9,20.7,-10.0,10.7,"1,440.0"
4321 Comercio al por mayor de productos textiles y calzado,20.7,12.1,18.8,0.2,51.8,72.9,42.9,107.1,4.9,227.9,20.7,-10.0,10.7,"1,440.0"
433 Comercio al por mayor de productos farmacéuticos  de perfumería  artículos para el esparcimiento  electrodomésticos menores y aparatos de línea blanca,87.5,40.6,6.9,-25.3,109.6,59.7,-46.1,17.8,-6.3,25.1,124.8,43.2,168.0,"1,828.3"
4331 Comercio al por mayor de productos farmacéuticos,42.6,-16.3,19.1,15.9,61.3,10.3,22.5,20.0,-10.8,41.8,50.6,27.9,78.5,"1,072.9"
4332 Comercio al por mayor de artículos de perfumería cosméticos y joyería,40.7,33.5,-34.1,4.3,44.5,45.2,-80.2,-4.1,6.6,-32.5,79.9,-5.1,74.8,375.6
4333 Comercio al por mayor de grabaciones de audio y video en medios físicos juguetes y artículos deportivos,-6.7,22.7,C,-46.2,-9.0,1.6,11.3,0.0,0.0,12.9,-9.3,C,4.5,188.7
4334 Comercio al por mayor de artículos de papelería  libros  revistas y periódicos,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,C,C,C,C,52.4
4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,10.8,C,C,C,12.8,2.6,C,C,-2.0,2.8,2.3,C,9.0,138.8
434 Comercio al por mayor de materias primas agropecuarias y forestales para la industria y materiales de desecho,116.9,20.3,146.6,-132.8,151.1,79.1,-53.9,-1.3,34.5,58.5,124.0,77.9,201.8,"3,172.2"
